id,qual,q1,q2i,q3i
613f7401a5b73038054a60d7,3,3,1,1
613f7401a5b73038054a60d8,3,3,1,1
613f7401a5b73038054a60d9,3,3,1,1
613f7401a5b73038054a60da,1,1,1,1
613f7401a5b73038054a60db,3,3,1,1
613f7401a5b73038054a60dc,3,3,1,1
613f7401a5b73038054a60dd,1,1,1,1
613f7401a5b73038054a60df,5,3,0,0
613f7401a5b73038054a60e0,1,1,1,1
613f7401a5b73038054a60e1,1,1,1,1
613f7401a5b73038054a60e3,3,3,1,1
613f7401a5b73038054a60e4,5,3,0,0
613f7401a5b73038054a60e5,3,3,1,1
613f7401a5b73038054a60e6,1,1,1,1
613f7401a5b73038054a60e7,5,3,0,0
613f7401a5b73038054a60e8,2,1,0,1
613f7401a5b73038054a60e9,1,1,1,1
613f7401a5b73038054a60ea,3,3,1,1
613f7401a5b73038054a60eb,2,2,1,1
613f7401a5b73038054a60ec,3,3,1,1
613f7401a5b73038054a60ed,2,2,1,1
613f7401a5b73038054a60ee,1,1,1,1
613f7401a5b73038054a60ef,2,2,1,1
613f7401a5b73038054a60f0,3,3,1,1
613f7401a5b73038054a60f1,3,3,1,1
613f7401a5b73038054a60f3,3,3,1,1
613f7401a5b73038054a60f4,2,2,1,1
613f7401a5b73038054a60f6,3,3,1,1
613f7401a5b73038054a60f7,1,1,1,1
613f7401a5b73038054a60f8,3,3,1,1
613f7401a5b73038054a60f9,3,3,1,1
613f7401a5b73038054a60fc,3,3,1,1
613f7401a5b73038054a60fd,1,1,1,1
613f7401a5b73038054a60fe,2,2,1,1
613f7401a5b73038054a60ff,1,1,1,1
613f7401a5b73038054a6100,3,3,1,1
613f7401a5b73038054a6101,3,3,1,1
613f7401a5b73038054a6102,1,1,1,1
613f7401a5b73038054a6103,3,3,1,1
613f7401a5b73038054a6104,1,1,1,1
613f7401a5b73038054a6107,5,3,0,0
613f7401a5b73038054a6108,2,2,1,1
613f7401a5b73038054a6109,3,3,1,1
613f7401a5b73038054a610a,3,3,1,1
613f7401a5b73038054a610b,3,3,1,1
613f7401a5b73038054a610e,3,3,1,1
613f7401a5b73038054a610f,3,3,1,1
613f7401a5b73038054a6114,5,3,0,0
613f7401a5b73038054a6115,1,1,1,1
613f7401a5b73038054a6116,3,3,1,1
613f7401a5b73038054a6119,4,3,0,1
613f7401a5b73038054a611a,5,3,0,0
613f7401a5b73038054a611b,3,3,1,1
613f7401a5b73038054a611c,1,1,1,1
613f7401a5b73038054a611e,3,3,1,1
613f7401a5b73038054a611f,5,3,0,0
613f7401a5b73038054a6120,3,3,1,1
613f7401a5b73038054a6121,3,3,1,1
613f7401a5b73038054a6122,3,3,1,1
613f7401a5b73038054a6124,3,3,1,1
613f7401a5b73038054a6127,3,3,1,1
613f7401a5b73038054a6129,5,3,0,0
613f7401a5b73038054a612a,2,2,1,1
613f7401a5b73038054a612b,3,3,1,1
613f7401a5b73038054a612d,3,3,1,1
613f7401a5b73038054a612e,3,3,1,1
613f7401a5b73038054a612f,3,3,1,1
613f7401a5b73038054a6130,3,3,1,1
613f7401a5b73038054a6131,3,3,1,1
613f7401a5b73038054a6132,3,3,1,1
613f7401a5b73038054a6133,3,3,1,1
613f7401a5b73038054a6134,5,3,0,0
613f7401a5b73038054a6136,3,3,1,1
613f7401a5b73038054a6137,3,3,1,1
613f7401a5b73038054a6138,3,3,1,1
613f7401a5b73038054a6139,1,1,1,1
613f7401a5b73038054a613a,1,1,1,1
613f7401a5b73038054a613b,5,3,0,0
613f7401a5b73038054a613c,3,3,1,1
613f7401a5b73038054a613d,0,0,1,1
613f7401a5b73038054a6141,3,3,1,1
613f7401a5b73038054a6142,3,3,1,1
613f7401a5b73038054a6143,5,3,0,0
613f7401a5b73038054a6144,1,1,1,1
613f7401a5b73038054a6145,3,3,1,1
613f7401a5b73038054a6146,1,1,1,1
613f7401a5b73038054a6147,1,1,1,1
613f7401a5b73038054a6148,1,1,1,1
613f7401a5b73038054a614a,5,3,0,0
613f7401a5b73038054a614b,3,3,1,1
613f7401a5b73038054a614d,3,3,1,1
613f7401a5b73038054a614e,3,3,1,1
613f7401a5b73038054a614f,3,3,1,1
613f7401a5b73038054a6150,1,1,1,1
613f7401a5b73038054a6151,5,3,0,0
613f7401a5b73038054a6152,1,1,1,1
613f7401a5b73038054a6153,3,3,1,1
613f7401a5b73038054a6154,1,1,1,1
613f7401a5b73038054a6155,1,1,1,1
613f7401a5b73038054a6156,1,1,1,1
613f7401a5b73038054a6157,3,3,1,1
613f7401a5b73038054a6158,2,2,1,1
613f7401a5b73038054a6159,3,3,1,1
613f7401a5b73038054a615a,2,2,1,1
613f7401a5b73038054a615b,1,1,1,1
613f7401a5b73038054a615c,2,2,1,1
613f7401a5b73038054a615d,1,1,1,1
613f7401a5b73038054a615e,2,2,1,1
613f7401a5b73038054a615f,1,1,1,1
613f7401a5b73038054a6160,3,3,1,1
613f7401a5b73038054a6161,3,3,1,1
613f7401a5b73038054a6162,5,3,0,0
613f7401a5b73038054a6163,1,1,1,1
613f7401a5b73038054a6164,0,0,1,1
613f7401a5b73038054a6165,3,3,1,1
613f7401a5b73038054a6166,1,1,1,1
613f7401a5b73038054a6167,1,1,1,1
613f7401a5b73038054a6168,1,1,1,1
613f7401a5b73038054a6169,1,1,1,1
613f7401a5b73038054a616a,3,3,1,1
613f7401a5b73038054a616b,3,3,1,1
613f7401a5b73038054a616c,3,3,1,1
613f7401a5b73038054a616d,3,3,1,1
613f7401a5b73038054a616e,1,1,1,1
613f7401a5b73038054a616f,1,1,1,1
613f7401a5b73038054a6170,3,3,1,1
613f7401a5b73038054a6171,1,1,1,1
613f7401a5b73038054a6172,3,3,1,1
613f7401a5b73038054a6173,1,1,1,1
613f7401a5b73038054a6174,1,1,1,1
613f7401a5b73038054a6175,3,3,1,1
613f7401a5b73038054a6176,2,2,1,1
613f7401a5b73038054a6177,3,3,1,1
613f7401a5b73038054a6178,3,3,1,1
613f7401a5b73038054a6179,3,3,1,1
613f7401a5b73038054a617a,3,3,1,1
613f7401a5b73038054a617b,5,3,0,0
613f7401a5b73038054a617c,3,3,1,1
613f7401a5b73038054a617d,3,3,1,1
613f7401a5b73038054a617e,5,3,0,0
613f7401a5b73038054a617f,3,3,1,1
613f7401a5b73038054a6180,3,3,1,1
613f7401a5b73038054a6181,3,3,1,1
613f7401a5b73038054a6182,4,3,0,1
613f7401a5b73038054a6183,3,3,1,1
613f7401a5b73038054a6184,5,3,0,0
613f7401a5b73038054a6185,3,3,1,1
613f7401a5b73038054a6186,2,2,1,1
613f7401a5b73038054a6187,3,3,1,1
613f7401a5b73038054a6188,2,2,1,1
613f7401a5b73038054a6189,3,3,1,1
613f7401a5b73038054a618a,1,1,1,1
613f7401a5b73038054a618b,2,2,1,1
613f7401a5b73038054a618c,3,3,1,1
613f7401a5b73038054a618d,5,3,0,0
613f7401a5b73038054a618e,3,3,1,1
613f7401a5b73038054a618f,3,3,1,1
613f7401a5b73038054a6190,1,1,1,1
613f7401a5b73038054a6191,1,1,1,1
