id,qual,q1,q2i,q3i
5d23b258597f0811be566fd3,3,3,1,1
5d23b258597f0811be566fd4,3,3,1,1
5d23b258597f0811be566fd5,5,3,0,0
5d23b258597f0811be566fd6,1,1,1,1
5d23b258597f0811be566fd7,5,3,0,0
5d23b258597f0811be566fd8,3,3,1,1
5d23b258597f0811be566fd9,1,1,1,1
5d23b258597f0811be566fda,5,3,0,0
5d23b258597f0811be566fdb,3,3,1,1
5d23b258597f0811be566fdc,3,3,1,1
5d23b258597f0811be566fdd,3,3,1,1
5d23b258597f0811be566fde,3,3,1,1
5d23b258597f0811be566fdf,2,2,1,1
5d23b258597f0811be566fe0,1,1,1,1
5d23b258597f0811be566fe1,3,2,0,1
5d23b258597f0811be566fe2,3,3,1,1
5d23b258597f0811be566fe3,5,3,0,0
5d23b258597f0811be566fe4,5,3,0,0
5d23b258597f0811be566fe5,3,3,1,1
5d23b258597f0811be566fe7,3,3,1,1
5d23b258597f0811be566fe8,3,3,1,1
5d23b258597f0811be566fe9,3,3,1,1
5d23b258597f0811be566fea,3,3,1,1
5d23b258597f0811be566feb,3,3,1,1
5d23b258597f0811be566fec,1,1,1,1
5d23b258597f0811be566fed,1,1,1,1
5d23b258597f0811be566fee,5,3,0,0
5d23b258597f0811be566fef,3,3,1,1
5d23b258597f0811be566ff1,1,1,1,1
5d23b258597f0811be566ff2,3,3,1,1
5d23b258597f0811be566ff3,1,1,1,1
5d23b258597f0811be566ff4,5,3,0,0
5d23b258597f0811be566ff5,3,3,1,1
5d23b258597f0811be566ff6,4,3,0,1
5d23b258597f0811be566ff7,3,3,1,1
5d23b258597f0811be566ff8,3,3,1,1
5d23b258597f0811be566ff9,3,3,1,1
5d23b258597f0811be566ffa,1,1,1,1
5d23b258597f0811be566ffb,2,2,1,1
5d23b258597f0811be566ffc,3,3,1,1
5d23b258597f0811be566ffd,1,1,1,1
5d23b258597f0811be566ffe,1,1,1,1
5d23b258597f0811be566fff,2,2,1,1
5d23b258597f0811be567000,2,1,0,1
5d23b258597f0811be567001,3,3,1,1
5d23b258597f0811be567002,3,3,1,1
5d23b258597f0811be567008,3,3,1,1
5d23b258597f0811be567009,3,3,1,1
5d23b258597f0811be56700a,1,1,1,1
5d23b258597f0811be56700b,5,3,0,0
5d23b258597f0811be56700c,3,3,1,1
5d23b258597f0811be56700d,1,1,1,1
5d23b258597f0811be56700e,3,3,1,1
5d23b258597f0811be56700f,1,1,1,1
5d23b258597f0811be567010,3,3,1,1
5d23b258597f0811be567011,1,1,1,1
5d23b258597f0811be567012,3,3,1,1
5d23b258597f0811be567013,5,3,0,0
5d23b258597f0811be567014,5,3,0,0
5d23b258597f0811be567015,3,3,1,1
5d23b258597f0811be567016,3,3,1,1
5d23b258597f0811be567017,3,3,1,1
5d23b258597f0811be567018,5,3,0,0
5d23b258597f0811be567019,1,1,1,1
5d23b258597f0811be56701a,5,3,0,0
5d23b258597f0811be56701b,5,3,0,0
5d23b258597f0811be56701c,3,3,1,1
5d23b258597f0811be56701d,2,2,1,1
5d23b258597f0811be56701e,5,3,0,0
5d23b258597f0811be56701f,5,3,0,0
5d23b258597f0811be567020,3,3,1,1
5d23b258597f0811be567021,3,3,1,1
5d23b258597f0811be567022,3,3,1,1
5d23b258597f0811be567023,3,3,1,1
5d23b258597f0811be567027,3,3,1,1
5d23b258597f0811be567028,2,2,1,1
5d23b258597f0811be567029,4,3,0,1
5d23b258597f0811be56702a,3,3,1,1
5d23b258597f0811be56702b,2,2,1,1
5d23b258597f0811be56702c,3,3,1,1
5d23b258597f0811be56702e,2,2,1,1
5d23b258597f0811be56702f,3,3,1,1
5d23b258597f0811be567030,2,2,1,1
5d23b258597f0811be567031,3,3,1,1
5d23b258597f0811be567032,3,3,1,1
5d23b258597f0811be567033,2,1,0,1
5d23b258597f0811be567034,4,3,0,1
5d23b258597f0811be56703a,2,2,1,1
5d23b258597f0811be56703b,1,1,1,1
5d23b258597f0811be56703c,3,3,1,1
5d23b258597f0811be56703d,2,2,1,1
5d23b258597f0811be56703e,3,3,1,1
5d23b258597f0811be56703f,5,3,0,0
5d23b258597f0811be567040,4,3,0,1
5d23b258597f0811be567041,5,3,0,0
5d23b258597f0811be567042,3,3,1,1
5d23b258597f0811be567043,3,3,1,1
5d23b258597f0811be567044,5,3,0,0
5d23b258597f0811be567045,3,3,1,1
5d23b258597f0811be567046,3,3,1,1
5d23b258597f0811be567047,5,3,0,0
5d23b258597f0811be567048,5,3,0,0
5d23b258597f0811be567049,5,3,0,0
5d23b258597f0811be56704a,1,1,1,1
5d23b258597f0811be56704b,5,3,0,0
5d23b377597f0811be567635,3,3,1,1
5d23b377597f0811be567637,3,3,1,1
5d23b377597f0811be56763c,3,3,1,1
5d23b377597f0811be56763d,4,3,0,1
5d23b377597f0811be56763e,3,3,1,1
5d23b377597f0811be56763f,3,3,1,1
5d23b377597f0811be567642,1,1,1,1
5d23b377597f0811be567643,1,1,1,1
5d23b377597f0811be567644,1,1,1,1
5d23b377597f0811be567645,3,3,1,1
5d23b377597f0811be567646,2,2,1,1
5d23b377597f0811be567647,3,3,1,1
5d23b377597f0811be56764b,1,1,1,1
5d23b377597f0811be56764c,5,3,0,0
5d23b377597f0811be56764d,5,3,0,0
5d23b377597f0811be56764e,5,3,0,0
5d23b377597f0811be56764f,3,3,1,1
5d23b377597f0811be567650,3,3,1,1
5d23b377597f0811be567651,1,1,1,1
5d23b377597f0811be567653,1,1,1,1
5d23b377597f0811be567654,1,1,1,1
5d23b377597f0811be567655,3,3,1,1
5d23b377597f0811be567656,1,1,1,1
5d23b377597f0811be567657,3,3,1,1
5d23b377597f0811be567658,3,3,1,1
5d23b377597f0811be56765a,3,3,1,1
5d23b377597f0811be56765b,3,3,1,1
5d23b377597f0811be56765c,5,3,0,0
5d23b377597f0811be56765d,4,3,0,1
5d23b377597f0811be56765e,2,2,1,1
5d23b377597f0811be567664,3,3,1,1
5d23b377597f0811be567665,5,3,0,0
5d23b377597f0811be567666,1,1,1,1
5d23b377597f0811be567667,3,3,1,1
5d23b377597f0811be567668,2,2,1,1
5d23b377597f0811be567669,1,1,1,1
5d23b377597f0811be56766a,3,3,1,1
5d23b377597f0811be56766b,4,3,0,1
5d23b377597f0811be56766c,3,3,1,1
5d23b377597f0811be56766e,3,3,1,1
5d23b377597f0811be56766f,2,2,1,1
5d23b377597f0811be567672,1,1,1,1
5d23b377597f0811be567673,3,3,1,1
5d23b377597f0811be567674,4,3,0,1
5d23b377597f0811be567675,3,3,1,1
5d23b377597f0811be567676,1,1,1,1
5d23b377597f0811be56767b,3,3,1,1
5d23b377597f0811be56767c,1,1,1,1
5d23b377597f0811be56767d,5,3,0,0
5d23b377597f0811be56767e,2,2,1,1
