id,qual,q1,q2i,q3i
62bddd0a3aa68f161edf4000,3,3,1,1
62bddd0a3aa68f161edf4001,5,3,0,0
62bddd0a3aa68f161edf4002,3,3,1,1
62bddd0a3aa68f161edf4003,3,3,1,1
62bddd0a3aa68f161edf4004,3,3,1,1
62bddd0a3aa68f161edf4005,5,3,0,0
62bddd0a3aa68f161edf4006,3,3,1,1
62bddd0a3aa68f161edf4007,5,3,0,0
62bddd0a3aa68f161edf4008,3,3,1,1
62bddd0a3aa68f161edf4009,3,3,1,1
62bddd0a3aa68f161edf400a,1,1,1,1
62bddd0a3aa68f161edf400b,3,3,1,1
62bddd0a3aa68f161edf400c,3,3,1,1
62bddd0a3aa68f161edf400d,3,3,1,1
62bddd0a3aa68f161edf400e,3,3,1,1
62bddd0a3aa68f161edf400f,5,3,0,0
62bddd0a3aa68f161edf4010,3,3,1,1
62bddd0a3aa68f161edf4011,3,3,1,1
62bddd0a3aa68f161edf4012,3,3,1,1
62bddd0a3aa68f161edf4013,5,3,0,0
62bddd0a3aa68f161edf4014,5,3,0,0
62bddd0a3aa68f161edf4015,5,3,0,0
62bddd0a3aa68f161edf4016,5,3,0,0
62bddd0a3aa68f161edf4017,4,3,0,1
62bddd0a3aa68f161edf4018,2,2,1,1
62bddd0a3aa68f161edf4019,3,3,1,1
62bddd0a3aa68f161edf401a,5,3,0,0
62bddd0a3aa68f161edf401b,3,3,1,1
62bddd0a3aa68f161edf401c,3,3,1,1
62bddd0a3aa68f161edf401d,3,3,1,1
62bddd0a3aa68f161edf401e,3,3,1,1
62bddd0a3aa68f161edf401f,5,3,0,0
62bddd0a3aa68f161edf4020,3,3,1,1
62bddd0a3aa68f161edf4023,3,3,1,1
62bddd0a3aa68f161edf4024,4,3,0,1
62bddd0a3aa68f161edf4025,5,3,0,0
62bddd0a3aa68f161edf4026,3,3,1,1
62bddd0a3aa68f161edf4027,5,3,0,0
62bddd0a3aa68f161edf4028,3,3,1,1
62bddd0a3aa68f161edf4029,3,3,1,1
62bddd0a3aa68f161edf402a,3,3,1,1
62bddd0a3aa68f161edf402b,3,3,1,1
62bddd0a3aa68f161edf402c,5,3,0,0
62bddd0a3aa68f161edf402d,3,3,1,1
62bddd0a3aa68f161edf402e,3,3,1,1
62bddd0a3aa68f161edf4033,3,3,1,1
62bddd0a3aa68f161edf4034,3,3,1,1
62bddd0a3aa68f161edf4035,3,3,1,1
62bddd0a3aa68f161edf4036,2,2,1,1
62bddd0a3aa68f161edf4037,3,3,1,1
62bddd0a3aa68f161edf4038,5,3,0,0
62bddd0a3aa68f161edf4039,5,3,0,0
62bddd0a3aa68f161edf403a,5,3,0,0
62bddd0a3aa68f161edf403b,3,3,1,1
62bddd0a3aa68f161edf403c,3,3,1,1
62bddd0a3aa68f161edf403d,3,3,1,1
62bddd0a3aa68f161edf403e,3,3,1,1
62bddd0a3aa68f161edf403f,5,3,0,0
62bddd0a3aa68f161edf4040,5,3,0,0
62bddd0a3aa68f161edf4041,5,3,0,0
62bddd0a3aa68f161edf4042,3,3,1,1
62bddd0a3aa68f161edf4043,1,1,1,1
62bddd0a3aa68f161edf4044,3,3,1,1
62bddd0a3aa68f161edf4045,3,3,1,1
62bddd0a3aa68f161edf4046,1,1,1,1
62bddd0a3aa68f161edf4047,3,3,1,1
